[Wed Aug 06 16:33:24.475324 2014] [:error] [pid 3012] [client 127.0.0.1:60947] PHP Fatal error:  Call to a member function format() on a non-object in /home/ikram/projects/analaticaV2/vendor/doctrine/dbal/lib/Doctrine/DBAL/Types/DateType.php on line 53
[Wed Aug 06 16:36:05.019399 2014] [:error] [pid 11086] [client 127.0.0.1:60949] PHP Fatal error:  Call to a member function format() on a non-object in /home/ikram/projects/analaticaV2/vendor/doctrine/dbal/lib/Doctrine/DBAL/Types/DateType.php on line 53
[Wed Aug 06 16:36:16.373940 2014] [:error] [pid 10363] [client 127.0.0.1:60951] PHP Fatal error:  Call to a member function format() on a non-object in /home/ikram/projects/analaticaV2/vendor/doctrine/dbal/lib/Doctrine/DBAL/Types/DateType.php on line 53
[Thu Aug 07 11:05:17.508439 2014] [:error] [pid 1131] [client 127.0.0.1:41710] PHP Fatal error:  Cannot use object of type Symfony\\Component\\HttpFoundation\\HeaderBag as array in /home/ikram/projects/analaticaV2/src/Analatica/UserAgentBundle/Controller/UserAgentController.php on line 30
[Wed Aug 13 10:32:26.343036 2014] [:error] [pid 3177] [client 127.0.0.1:46168] PHP Fatal error:  Call to undefined method Analatica\\UserAgentBundle\\Controller\\UserAgentController::ConverterBrowsers() in /home/ikram/projects/analaticaV2/src/Analatica/UserAgentBundle/Controller/UserAgentController.php on line 144
[Wed Aug 13 10:35:15.756171 2014] [:error] [pid 1184] [client 127.0.0.1:46170] PHP Fatal error:  Call to undefined method Analatica\\UserAgentBundle\\Controller\\UserAgentController::ConverterBrowsers() in /home/ikram/projects/analaticaV2/src/Analatica/UserAgentBundle/Controller/UserAgentController.php on line 103
[Wed Aug 13 11:20:22.699576 2014] [:error] [pid 3501] [client 127.0.0.1:46245] PHP Fatal error:  Call to undefined method Analatica\\RegexBundle\\Entity\\RegexOs::getRegexos() in /home/ikram/projects/analaticaV2/src/Analatica/UserAgentBundle/Controller/UserAgentController.php on line 41
[Wed Aug 13 11:21:33.655846 2014] [:error] [pid 1184] [client 127.0.0.1:46247] PHP Fatal error:  Class 'Analatica\\UserAgentBundle\\Controller\\Systemexploi' not found in /home/ikram/projects/analaticaV2/src/Analatica/UserAgentBundle/Controller/UserAgentController.php on line 46
[Wed Aug 13 11:22:50.542385 2014] [:error] [pid 4423] [client 127.0.0.1:46249] PHP Fatal error:  Class 'Analatica\\UserAgentBundle\\Controller\\Os' not found in /home/ikram/projects/analaticaV2/src/Analatica/UserAgentBundle/Controller/UserAgentController.php on line 46
[Wed Aug 13 11:39:55.433909 2014] [:error] [pid 1186] [client 127.0.0.1:46326] PHP Fatal error:  Class 'Analatica\\UserAgentBundle\\Controller\\Os' not found in /home/ikram/projects/analaticaV2/src/Analatica/UserAgentBundle/Controller/UserAgentController.php on line 46
[Wed Aug 13 11:40:48.002855 2014] [:error] [pid 3500] [client 127.0.0.1:46328] PHP Fatal error:  Class 'Analatica\\UserAgentBundle\\Controller\\Os' not found in /home/ikram/projects/analaticaV2/src/Analatica/UserAgentBundle/Controller/UserAgentController.php on line 46
[Wed Aug 13 14:40:05.406350 2014] [:error] [pid 1184] [client 127.0.0.1:47580] PHP Fatal error:  Class 'Analatica\\UserBundle\\DependencyInjection\\XmlFileLoader' not found in /home/ikram/projects/analaticaV2/src/Analatica/UserBundle/DependencyInjection/AnalaticaUserExtension.php on line 24
